dataset,name,k,solver,time,timeout,numsol,expd,gen,qsize,pr-frontier,pr-sol,pr-fea,pr-post,pr-extra
AFG,rbg019d,0,combine,0.0001168,0,1,79,198,19,45,0,1,74,613
AFG,rbg019d,0,gap_prune,6.957e-05,0,1,79,198,19,45,0,1,74,613
AFG,rbg019d,0,fastdom,0.000528,0,1,104,1036,45,181,0,1,751,0
AFG,rbg019d,0,default,0.000446,0,1,104,1036,45,181,0,1,751,0
AFG,rbg020a,0,combine,0.001042,0,1,389,1897,315,539,0,1,969,279
AFG,rbg020a,0,gap_prune,0.001045,0,1,389,1897,315,539,0,1,969,279
AFG,rbg020a,0,fastdom,0.000711,0,1,386,2167,317,544,0,1,1237,0
AFG,rbg020a,0,default,0.001017,0,1,386,2167,317,544,0,1,1237,0
AFG,rbg152.3,0,combine,0.01787,0,1,3175,12077,789,5730,0,1,3172,205068
AFG,rbg152.3,0,gap_prune,0.0184,0,1,3175,12077,789,5730,0,1,3172,205068
AFG,rbg152.3,0,fastdom,4.806,0,1,177245,12397051,74730,1369517,11,1,10850278,0
AFG,rbg152.3,0,default,7.32,0,1,177245,12397051,74730,1369517,11,1,10850278,0
AFG,rbg055a,0,combine,0.003845,0,1,1259,5041,523,2202,0,1,1580,16968
AFG,rbg055a,0,gap_prune,0.002829,0,1,1259,5041,523,2202,0,1,1580,16968
AFG,rbg055a,0,fastdom,0.009758,0,1,1662,28969,1445,5603,4,1,21700,0
AFG,rbg055a,0,default,0.009572,0,1,1662,28969,1445,5603,4,1,21700,0
AFG,rbg017a,0,combine,0.00115,0,1,398,3511,158,278,0,1,2835,32
AFG,rbg017a,0,gap_prune,0.00138,0,1,398,3511,158,278,0,1,2835,32
AFG,rbg017a,0,fastdom,0.001475,0,1,398,3543,158,278,0,1,2867,0
AFG,rbg017a,0,default,0.00174,0,1,398,3543,158,278,0,1,2867,0
AFG,rbg233,0,combine,0.7973,0,1,57412,416786,78375,155737,0,1,203637,10723178
AFG,rbg233,0,gap_prune,1.993,0,1,57412,416786,78375,155737,0,1,203637,10723178
AFG,rbg233,0,fastdom,4.772,0,1,60968,11666949,79050,182728,3,1,11423250,0
AFG,rbg233,0,default,5.818,0,1,60968,11666949,79050,182728,3,1,11423250,0
AFG,rbg172a,0,combine,0.1035,0,1,15788,95397,10041,36202,3,1,43404,504944
AFG,rbg172a,0,gap_prune,0.1523,0,1,15788,95397,10041,36202,3,1,43404,504944
AFG,rbg172a,0,fastdom,0.2928,0,1,17901,766460,11167,52265,4,1,696290,0
AFG,rbg172a,0,default,0.3191,0,1,17901,766460,11167,52265,4,1,696290,0
AFG,rbg019b,0,combine,9.965e-05,0,1,75,203,17,55,0,1,73,501
AFG,rbg019b,0,gap_prune,9.617e-05,0,1,75,203,17,55,0,1,73,501
AFG,rbg019b,0,fastdom,0.00198,0,1,403,4839,388,1255,0,1,3181,0
AFG,rbg019b,0,default,0.001498,0,1,403,4839,388,1255,0,1,3181,0
AFG,rbg021.6,0,combine,6.915,0,1,203491,1726216,251876,955002,0,1,567723,194916
AFG,rbg021.6,0,gap_prune,67.4,0,1,203491,1726216,251876,955002,0,1,567723,194916
AFG,rbg021.6,0,fastdom,7.15,0,1,205543,1941669,283349,1019847,0,1,716279,0
AFG,rbg021.6,0,default,62.98,0,1,205543,1941669,283349,1019847,0,1,716279,0
AFG,rbg019a,0,combine,4.066e-05,0,1,33,73,6,9,0,1,31,257
AFG,rbg019a,0,gap_prune,2.595e-05,0,1,33,73,6,9,0,1,31,257
AFG,rbg019a,0,fastdom,8.467e-05,0,1,48,487,10,26,1,1,412,0
AFG,rbg019a,0,default,0.0001073,0,1,48,487,10,26,1,1,412,0
AFG,rbg019c,0,combine,0.01003,0,1,2545,25333,2519,3195,0,1,19593,2887
AFG,rbg019c,0,gap_prune,0.01441,0,1,2545,25333,2519,3195,0,1,19593,2887
AFG,rbg019c,0,fastdom,0.009451,0,1,2549,28274,2526,3223,0,1,22502,0
AFG,rbg019c,0,default,0.01017,0,1,2549,28274,2526,3223,0,1,22502,0
AFG,rbg035a,0,combine,0.0001964,0,1,171,502,31,162,3,1,166,2762
AFG,rbg035a,0,gap_prune,0.0001857,0,1,171,502,31,162,3,1,166,2762
AFG,rbg035a,0,fastdom,0.002733,0,1,552,9488,273,1608,10,1,7318,0
AFG,rbg035a,0,default,0.003232,0,1,552,9488,273,1608,10,1,7318,0
AFG,rbg092a,0,combine,0.004897,0,1,1771,7071,560,3075,0,1,2225,42730
AFG,rbg092a,0,gap_prune,0.004938,0,1,1771,7071,560,3075,0,1,2225,42730
AFG,rbg092a,0,fastdom,0.02971,0,1,2609,86471,1448,9461,4,1,74397,0
AFG,rbg092a,0,default,0.02935,0,1,2609,86471,1448,9461,4,1,74397,0
AFG,rbg132.2,0,combine,0.01177,0,1,2567,9805,834,4655,0,1,2583,107871
AFG,rbg132.2,0,gap_prune,0.012,0,1,2567,9805,834,4655,0,1,2583,107871
AFG,rbg132.2,0,fastdom,0.2756,0,1,15071,757014,10282,88377,3,1,653563,0
AFG,rbg132.2,0,default,0.2882,0,1,15071,757014,10282,88377,3,1,653563,0
AFG,rbg233.2,0,combine,3.797,0,1,201188,1313529,164237,893111,0,1,219230,37098000
AFG,rbg233.2,0,gap_prune,25.87,0,1,201188,1313529,164237,893111,0,1,219230,37098000
AFG,rbg233.2,0,fastdom,21.23,0,1,246507,45330151,510418,1807180,12,1,43276452,0
AFG,rbg233.2,0,default,48.6,0,1,246507,45330151,510418,1807180,12,1,43276452,0
AFG,rbg016b,0,combine,4.598e-05,0,1,49,123,12,26,0,1,48,229
AFG,rbg016b,0,gap_prune,5.904e-05,0,1,49,123,12,26,0,1,48,229
AFG,rbg016b,0,fastdom,0.0003649,0,1,131,1248,67,230,0,1,887,0
AFG,rbg016b,0,default,0.0003355,0,1,131,1248,67,230,0,1,887,0
AFG,rbg016a,0,combine,0.0002266,0,1,127,484,79,105,0,1,252,1085
AFG,rbg016a,0,gap_prune,0.000149,0,1,127,484,79,105,0,1,252,1085
AFG,rbg016a,0,fastdom,0.0005976,0,1,138,1655,89,123,2,1,1392,0
AFG,rbg016a,0,default,0.0003961,0,1,138,1655,89,123,2,1,1392,0
AFG,rbg021.9,0,combine,219.4,0,1,895550,7502880,2047453,5711801,0,1,895529,832399
AFG,rbg021.9,0,gap_prune,300,1,0,366068,3614971,1469997,1413057,0,1,366066,411823
AFG,rbg021.9,0,fastdom,223.2,0,1,900845,8372109,2620747,6570294,0,1,900970,0
AFG,rbg021.9,0,default,300,1,0,395063,4310782,1963440,1557107,0,1,395175,0
AFG,rbg033a,0,combine,0.0003066,0,1,253,768,118,266,0,1,249,4350
AFG,rbg033a,0,gap_prune,0.0004435,0,1,253,768,118,266,0,1,249,4350
AFG,rbg033a,0,fastdom,0.00459,0,1,605,12462,424,1625,0,1,10232,0
AFG,rbg033a,0,default,0.004778,0,1,605,12462,424,1625,0,1,10232,0
AFG,rbg017.2,0,combine,0.0001308,0,1,88,249,57,76,0,1,85,302
AFG,rbg017.2,0,gap_prune,8.44e-05,0,1,88,249,57,76,0,1,85,302
AFG,rbg017.2,0,fastdom,0.001362,0,1,518,3550,588,2029,81,1,922,0
AFG,rbg017.2,0,default,0.001411,0,1,518,3550,588,2029,81,1,922,0
AFG,rbg201a,0,combine,0.1568,0,1,16251,97114,10041,36947,0,1,43916,971107
AFG,rbg201a,0,gap_prune,0.1901,0,1,16251,97114,10041,36947,0,1,43916,971107
AFG,rbg201a,0,fastdom,0.542,0,1,18605,1301024,11167,54759,2,1,1227658,0
AFG,rbg201a,0,default,0.5554,0,1,18605,1301024,11167,54759,2,1,1227658,0
AFG,rbg048a,0,combine,300,1,0,934243,24884773,2244787,1753832,0,1,21155457,11210974
AFG,rbg050c,0,combine,300,1,0,546191,14222686,3608201,883419,0,1,9184876,7690353
AFG,rbg042a,0,combine,0.06351,0,1,16372,112015,11373,40343,3,1,55297,328133
AFG,rbg042a,0,gap_prune,0.1134,0,1,16372,112015,11373,40343,3,1,55297,328133
AFG,rbg042a,0,fastdom,0.1435,0,1,17050,459114,13214,46237,3,1,395824,0
AFG,rbg042a,0,default,0.1904,0,1,17050,459114,13214,46237,3,1,395824,0
AFG,rbg049a,0,combine,85.44,0,1,733277,15224273,840875,1948051,0,1,12542945,12442494
AFG,rbg049a,0,gap_prune,300,1,0,622193,13491125,840875,1568533,0,1,11118422,10577403
AFG,rbg049a,0,fastdom,89.49,0,1,733483,27668887,840771,1950034,7,1,24985363,0
AFG,rbg049a,0,default,300,1,0,624930,24167164,840771,1580028,0,1,21785569,0
AFG,rbg125a,0,combine,0.007656,0,1,1607,6056,523,2517,3,1,1929,116124
AFG,rbg125a,0,gap_prune,0.007306,0,1,1607,6056,523,2517,3,1,1929,116124
AFG,rbg125a,0,fastdom,0.06434,0,1,3134,198933,1445,10098,10,1,185691,0
AFG,rbg125a,0,default,0.06265,0,1,3134,198933,1445,10098,10,1,185691,0
AFG,rbg021.2,0,combine,0.05252,0,1,12339,97889,8559,33787,0,1,51763,9455
AFG,rbg021.2,0,gap_prune,0.1088,0,1,12339,97889,8559,33787,0,1,51763,9455
AFG,rbg021.2,0,fastdom,0.05133,0,1,12381,107668,8659,34774,0,1,60513,0
AFG,rbg021.2,0,default,0.1053,0,1,12381,107668,8659,34774,0,1,60513,0
AFG,rbg040a,0,combine,0.0007274,0,1,424,1403,202,552,0,1,427,6302
AFG,rbg040a,0,gap_prune,0.0007271,0,1,424,1403,202,552,0,1,427,6302
AFG,rbg040a,0,fastdom,0.00493,0,1,881,16816,508,2742,2,1,13191,0
AFG,rbg040a,0,default,0.00487,0,1,881,16816,508,2742,2,1,13191,0
AFG,rbg193,0,combine,0.8601,0,1,56186,411300,78375,153620,0,1,201494,3866230
AFG,rbg193,0,gap_prune,2.066,0,1,56186,411300,78375,153620,0,1,201494,3866230
AFG,rbg193,0,fastdom,2.205,0,1,59159,4500128,79151,176392,1,1,4264576,0
AFG,rbg193,0,default,3.318,0,1,59159,4500128,79151,176392,1,1,4264576,0
AFG,rbg041a,0,combine,0.006034,0,1,2278,11136,2069,4719,0,1,4139,46972
AFG,rbg041a,0,gap_prune,0.007079,0,1,2278,11136,2069,4719,0,1,4139,46972
AFG,rbg041a,0,fastdom,0.0204,0,1,2676,66757,2777,7794,6,1,56281,0
AFG,rbg041a,0,default,0.0196,0,1,2676,66757,2777,7794,6,1,56281,0
AFG,rbg152,0,combine,0.012,0,1,2440,9132,789,4010,0,1,2682,145531
AFG,rbg152,0,gap_prune,0.01168,0,1,2440,9132,789,4010,0,1,2682,145531
AFG,rbg152,0,fastdom,0.1073,0,1,4203,285068,1364,12608,0,1,268257,0
AFG,rbg152,0,default,0.1052,0,1,4203,285068,1364,12608,0,1,268257,0
AFG,rbg050b,0,combine,70.89,0,1,724651,14735074,823311,2112471,0,1,11897952,12197760
AFG,rbg050b,0,gap_prune,300,1,0,599774,12862931,823311,1695366,0,1,10321704,10196238
AFG,rbg050b,0,fastdom,76.58,0,1,724912,26934918,823343,2115127,0,1,24094879,0
AFG,rbg050b,0,default,300,1,0,618256,23724416,823343,1754057,0,1,21157514,0
AFG,rbg086a,0,combine,0.001652,0,1,619,2164,113,698,0,1,847,26705
AFG,rbg086a,0,gap_prune,0.001629,0,1,619,2164,113,698,0,1,847,26705
AFG,rbg086a,0,fastdom,0.01494,0,1,1200,46002,437,3352,2,1,41448,0
AFG,rbg086a,0,default,0.01596,0,1,1200,46002,437,3352,2,1,41448,0
AFG,rbg031a,0,combine,0.0001107,0,1,105,267,17,60,0,1,102,1630
AFG,rbg031a,0,gap_prune,0.0001562,0,1,105,267,17,60,0,1,102,1630
AFG,rbg031a,0,fastdom,0.003651,0,1,408,7480,231,1196,0,1,5876,0
AFG,rbg031a,0,default,0.002239,0,1,408,7480,231,1196,0,1,5876,0
