dataset,name,k,solver,time,timeout,numsol,expd,gen,qsize,pr-frontier,pr-sol,pr-fea,pr-post,pr-extra
Dumas,n40w40.001,10,combine,0.0004514,0,1,192,851,43,116,0,1,543,4360
Dumas,n40w40.001,10,makespan-order,0.000477,0,1,189,846,31,117,0,1,540,4278
Dumas,n40w40.001,10,makespan-order-mst,0.01038,0,1,181,799,31,111,0,1,507,4064
Dumas,n60w60.002,10,combine,0.01164,0,1,2323,14593,990,3198,0,1,9072,71715
Dumas,n60w60.002,10,makespan-order,0.0114,0,1,2202,13945,676,2975,0,1,8768,68065
Dumas,n60w60.002,10,makespan-order-mst,0.3135,0,1,2159,13616,711,2920,0,1,8537,66863
Dumas,n40w100.001,10,combine,0.3558,0,3,40541,321193,31198,92585,3,1,188062,386465
Dumas,n40w100.001,10,makespan-order,0.423,0,3,37538,294704,12401,83240,3,1,173921,358663
Dumas,n40w100.001,10,makespan-order-mst,1.948,0,3,37090,293400,13008,86076,3,1,170229,355741
Dumas,n100w40.002,10,combine,0.02908,0,1,5144,32698,3039,8868,0,1,18686,290025
Dumas,n100w40.002,10,makespan-order,0.03091,0,1,5102,32412,1337,8699,0,1,18611,289728
Dumas,n100w40.002,10,makespan-order-mst,1.459,0,1,4758,29744,1118,8273,0,1,16713,262641
Dumas,n150w20.004,10,combine,0.004143,0,1,815,3971,67,587,0,1,2569,70331
Dumas,n150w20.004,10,makespan-order,0.004284,0,1,819,3954,82,569,0,1,2566,70946
Dumas,n150w20.004,10,makespan-order-mst,0.3445,0,1,700,3378,82,500,0,1,2178,59472
Dumas,n60w40.003,10,combine,0.006205,0,1,1445,8163,613,2129,0,1,4589,28637
Dumas,n60w40.003,10,makespan-order,0.006037,0,1,1414,7984,423,2104,0,1,4466,28622
Dumas,n60w40.003,10,makespan-order-mst,0.08709,0,1,1356,7572,411,2055,0,1,4161,26382
Dumas,n60w100.005,10,combine,1.001,0,1,89065,976374,19389,158820,0,1,728489,2292478
Dumas,n60w100.005,10,makespan-order,1.137,0,1,82241,893772,15449,143643,0,1,667888,2109078
Dumas,n60w100.005,10,makespan-order-mst,17.64,0,1,76077,821962,15012,134819,0,1,611066,1951589
Dumas,n150w60.001,10,combine,0.4337,0,1,37920,470340,7036,56421,0,1,375999,3296139
Dumas,n150w60.001,10,makespan-order,0.431,0,1,35307,435095,4156,50990,0,1,348798,3087211
Dumas,n150w60.001,10,makespan-order-mst,39.74,0,1,31042,380970,3874,46955,0,1,302973,2709609
Dumas,n60w40.002,10,combine,0.003174,0,1,858,4923,163,943,0,1,3122,26655
Dumas,n60w40.002,10,makespan-order,0.003446,0,1,898,5122,161,1000,0,1,3224,27362
Dumas,n60w40.002,10,makespan-order-mst,0.1056,0,1,795,4507,146,873,0,1,2839,24254
Dumas,n20w60.004,10,combine,0.0004224,0,1,165,826,79,202,0,1,459,1329
Dumas,n20w60.004,10,makespan-order,0.0003864,0,1,150,741,63,194,0,1,397,1230
Dumas,n20w60.004,10,makespan-order-mst,0.002615,0,1,140,701,57,190,0,1,371,1152
Dumas,n60w80.001,10,combine,0.04675,0,1,7773,57687,3191,14271,1,1,35642,210867
Dumas,n60w80.001,10,makespan-order,0.05333,0,1,8543,62899,3314,15298,1,1,39057,236056
Dumas,n60w80.001,10,makespan-order-mst,1.118,0,1,6890,50753,2632,11990,0,1,31873,189279
Dumas,n150w40.003,10,combine,0.09334,0,1,11382,99488,2460,18664,0,1,69442,978610
Dumas,n150w40.003,10,makespan-order,0.1011,0,1,11481,100254,1231,18901,0,1,69872,977804
Dumas,n150w40.003,10,makespan-order-mst,9.917,0,1,10079,86755,1130,16892,0,1,59784,854578
Dumas,n200w20.001,10,combine,0.02098,0,1,3052,18912,284,3289,0,1,12571,324487
Dumas,n200w20.001,10,makespan-order,0.02171,0,1,3097,18963,323,3291,0,1,12575,328681
Dumas,n200w20.001,10,makespan-order-mst,2.259,0,1,2689,16452,277,2840,0,1,10923,285098
Dumas,n200w40.004,10,combine,1.177,0,2,71906,766349,21596,137771,0,1,556671,9872622
Dumas,n200w40.004,10,makespan-order,1.085,0,2,60718,636252,14566,116244,0,1,459289,8293915
Dumas,n200w40.004,10,makespan-order-mst,123.7,0,2,55758,582515,13866,106647,0,1,420109,7677320
Dumas,n40w40.002,10,combine,0.0009673,0,2,367,1584,123,340,0,1,876,7604
Dumas,n40w40.002,10,makespan-order,0.001032,0,2,370,1607,123,339,0,1,897,7654
Dumas,n40w40.002,10,makespan-order-mst,0.01693,0,2,353,1539,110,325,0,1,860,7344
Dumas,n200w40.005,10,combine,0.2204,0,1,19354,190357,2650,31204,0,1,139799,2345018
Dumas,n200w40.005,10,makespan-order,0.2143,0,1,18957,184482,2308,30394,0,1,135131,2278152
Dumas,n200w40.005,10,makespan-order-mst,33.25,0,1,16835,164243,2061,27096,0,1,120312,2051409
Dumas,n20w100.001,10,combine,0.001507,0,5,575,3005,327,841,0,1,1585,3711
Dumas,n20w100.001,10,makespan-order,0.001673,0,5,583,3036,327,850,0,1,1599,3719
Dumas,n20w100.001,10,makespan-order-mst,0.00769,0,5,504,2559,219,687,0,1,1364,3148
Dumas,n20w20.005,10,combine,4.323e-05,0,1,32,91,7,7,0,1,52,255
Dumas,n20w20.005,10,makespan-order,4.565e-05,0,1,32,91,7,7,0,1,52,255
Dumas,n20w20.005,10,makespan-order-mst,0.0003011,0,1,34,96,7,7,0,1,55,267
Dumas,n150w60.002,10,combine,1.565,0,2,97380,1176062,21543,171378,0,1,907303,7751498
Dumas,n150w60.002,10,makespan-order,1.745,0,2,90177,1088418,13252,158082,0,1,840158,7183212
Dumas,n150w60.002,10,makespan-order-mst,95.6,0,3,82748,982738,12590,149826,0,1,750162,6634974
Dumas,n150w60.005,10,combine,1.051,0,1,71066,742017,30237,111527,0,1,559424,6214531
Dumas,n150w60.005,10,makespan-order,1.12,0,1,67206,697962,12083,104756,0,1,526000,5913332
Dumas,n150w60.005,10,makespan-order-mst,84.82,0,1,61283,633616,11305,97862,0,1,474471,5386747
Dumas,n20w100.002,10,combine,0.005791,0,4,1558,9744,533,2016,3,1,6164,7575
Dumas,n20w100.002,10,makespan-order,0.006033,0,4,1609,10045,388,2115,3,1,6315,7817
Dumas,n20w100.002,10,makespan-order-mst,0.02653,0,5,1385,8463,243,1737,3,1,5334,6565
Dumas,n20w20.001,10,combine,4.562e-05,0,1,30,100,7,6,0,1,64,263
Dumas,n20w20.001,10,makespan-order,4.657e-05,0,1,30,100,7,6,0,1,64,263
Dumas,n20w20.001,10,makespan-order-mst,0.0002893,0,1,24,80,7,6,0,1,50,188
Dumas,n150w20.001,10,combine,0.004578,0,1,919,4699,61,690,0,1,3090,67737
Dumas,n150w20.001,10,makespan-order,0.004797,0,1,943,4850,77,713,0,1,3194,70857
Dumas,n150w20.001,10,makespan-order-mst,0.3794,0,1,850,4320,73,635,0,1,2835,63125
Dumas,n80w80.002,10,combine,0.3392,0,2,31520,304411,15810,70965,0,1,201925,1559928
Dumas,n80w80.002,10,makespan-order,0.3563,0,2,29491,283219,11837,65969,0,1,187758,1461625
Dumas,n80w80.002,10,makespan-order-mst,14.56,0,3,30220,294542,12673,70347,0,1,193973,1520300
Dumas,n80w40.005,10,combine,0.006443,0,2,1448,8598,223,1579,0,1,5570,55396
Dumas,n80w40.005,10,makespan-order,0.006502,0,2,1379,8173,218,1490,0,1,5303,52508
Dumas,n80w40.005,10,makespan-order-mst,0.2909,0,2,1357,7937,231,1598,0,1,4981,51439
Dumas,n100w60.001,10,combine,0.2141,0,2,24577,250591,5703,45431,0,1,180582,1027157
Dumas,n100w60.001,10,makespan-order,0.2257,0,2,22585,227197,6136,41715,0,1,162896,949111
Dumas,n100w60.001,10,makespan-order-mst,10.43,0,2,21404,215012,6377,39754,0,1,153853,866754
Dumas,n40w100.003,10,combine,0.02237,0,1,4328,33944,1771,7116,0,1,22500,54700
Dumas,n40w100.003,10,makespan-order,0.02457,0,1,4300,33600,984,7060,0,1,22240,54659
Dumas,n40w100.003,10,makespan-order-mst,0.2777,0,1,3977,30971,950,6485,0,1,20509,50539
Dumas,n40w60.002,10,combine,0.00233,0,1,648,3775,96,564,0,1,2563,11709
Dumas,n40w60.002,10,makespan-order,0.002423,0,1,648,3764,105,570,0,1,2546,11756
Dumas,n40w60.002,10,makespan-order-mst,0.02998,0,1,557,3116,99,499,0,1,2060,9352
Dumas,n20w40.002,10,combine,8.726e-05,0,1,56,196,14,22,0,1,118,547
Dumas,n20w40.002,10,makespan-order,8.717e-05,0,1,56,196,14,22,0,1,118,547
Dumas,n20w40.002,10,makespan-order-mst,0.0007304,0,1,55,191,14,23,0,1,113,537
Dumas,n100w20.004,10,combine,0.001454,0,1,409,2014,22,170,0,1,1435,21116
Dumas,n100w20.004,10,makespan-order,0.001648,0,1,418,2043,28,169,0,1,1456,21690
Dumas,n100w20.004,10,makespan-order-mst,0.09382,0,1,372,1781,29,167,0,1,1242,18930
Dumas,n40w20.001,10,combine,0.0002402,0,2,122,470,19,41,0,1,306,1856
Dumas,n40w20.001,10,makespan-order,0.0002436,0,2,124,479,21,42,0,1,312,1870
Dumas,n40w20.001,10,makespan-order-mst,0.004128,0,2,121,468,21,41,0,1,305,1849
Dumas,n150w20.005,10,combine,0.005802,0,1,1039,5407,171,851,0,1,3517,78615
Dumas,n150w20.005,10,makespan-order,0.005419,0,1,1057,5497,160,825,0,1,3615,78708
Dumas,n150w20.005,10,makespan-order-mst,0.4927,0,1,1019,5323,183,820,0,1,3484,73366
