name,time
rbg019d.tw,1.04
rbg020a.tw,0.99
rbg055a.tw,11.39
rbg017a.tw,1.01
rbg019b.tw,3.48
rbg021.6.tw,42.71
rbg019a.tw,1.0
rbg019c.tw,3.09
rbg021.tw,3.16
rbg035a.tw,7.0
rbg092a.tw,29.9
rbg132.2.tw,171.65
rbg016b.tw,3.03
rbg016a.tw,0.99
rbg033a.tw,10.33
rbg017.2.tw,3.36
rbg201a.tw,236.38
rbg048a.tw,15.44
rbg050c.tw,178.56
rbg042a.tw,249.88
rbg049a.tw,13.32
rbg125a.tw,78.84
rbg021.2.tw,3.57
rbg040a.tw,6.84
rbg041a.tw,7.87
rbg152.tw,93.82
rbg086a.tw,14.67
rbg031a.tw,5.18
rbg034a.tw,7.69
rbg067a.tw,14.74
rbg132.tw,48.69
rbg027a.tw,4.58
rbg050a.tw,30.19
rbg010a.tw,0.98
rbg038a.tw,7.21
rbg021.4.tw,4.32
rbg017.tw,1.3
rbg021.5.tw,5.57
rbg035a.2.tw,16.1
rbg021.3.tw,3.82
n80w40.001.txt,23.81
n60w60.003.txt,40.13
n40w60.004.txt,7.03
n40w20.005.txt,1.03
n80w20.005.txt,5.05
n40w80.004.txt,7.38
n80w80.001.txt,25.02
n80w60.003.txt,58.25
n20w20.001.txt,0.97
n80w40.004.txt,32.44
n40w20.003.txt,1.02
n40w20.002.txt,1.16
n20w80.003.txt,1.06
n100w20.005.txt,13.78
n60w20.005.txt,1.15
n40w40.003.txt,1.5
n20w40.004.txt,1.0
n150w20.004.txt,62.73
n20w20.002.txt,1.0
n20w100.001.txt,3.34
n200w20.005.txt,255.6
n150w20.003.txt,50.5
n40w80.005.txt,11.76
n40w40.002.txt,4.57
n60w60.005.txt,10.69
n100w20.004.txt,10.96
n60w60.004.txt,29.1
n40w80.003.txt,6.0
n60w60.002.txt,10.72
n60w80.005.txt,19.33
n100w40.004.txt,56.92
n80w60.001.txt,66.29
n40w80.001.txt,7.4
n80w60.005.txt,243.06
n100w60.005.txt,251.47
n20w80.001.txt,1.36
n60w40.001.txt,8.25
n20w100.004.txt,1.25
n20w40.002.txt,0.98
n20w80.002.txt,1.24
n20w100.005.txt,3.48
n80w20.004.txt,8.19
n100w20.001.txt,2.61
n80w20.003.txt,4.86
n80w20.002.txt,7.32
n80w40.003.txt,42.22
n20w60.005.txt,1.03
n150w20.001.txt,60.29
n60w40.004.txt,5.44
n20w80.004.txt,1.27
n200w20.003.txt,130.08
n80w60.002.txt,25.99
n80w40.002.txt,31.72
n60w20.004.txt,3.27
n40w60.005.txt,5.72
n150w20.002.txt,24.39
n20w40.001.txt,1.0
n80w20.001.txt,12.1
n60w20.003.txt,1.44
n40w20.004.txt,1.01
n20w80.005.txt,3.02
n60w20.002.txt,1.6
n40w100.005.txt,8.45
n40w40.005.txt,4.9
n40w60.002.txt,5.94
n20w60.002.txt,1.01
n80w60.004.txt,27.74
n60w80.002.txt,14.52
n20w20.005.txt,0.98
n60w20.001.txt,1.6
n80w80.002.txt,263.76
n100w40.001.txt,24.32
n20w20.003.txt,0.96
n20w20.004.txt,0.98
n60w80.004.txt,17.87
n40w40.004.txt,4.31
n40w100.002.txt,10.08
n150w40.002.txt,91.31
n40w20.001.txt,1.04
n150w40.004.txt,75.64
n200w20.004.txt,242.64
n60w100.003.txt,32.96
n100w40.002.txt,58.97
n40w100.004.txt,8.18
n150w20.005.txt,104.4
n60w60.001.txt,18.92
n40w40.001.txt,1.07
n40w60.003.txt,5.81
n20w40.003.txt,1.0
n40w80.002.txt,13.4
n60w80.001.txt,23.3
n60w100.002.txt,16.98
n20w40.005.txt,0.99
n60w80.003.txt,35.57
n100w40.003.txt,75.38
n80w40.005.txt,37.47
n80w80.004.txt,93.56
n40w100.001.txt,18.38
n40w100.003.txt,16.45
n20w60.003.txt,1.02
n20w100.002.txt,3.49
n80w80.003.txt,31.68
n100w20.002.txt,9.99
n60w40.003.txt,9.43
n40w60.001.txt,5.62
n80w80.005.txt,76.19
n20w60.004.txt,2.93
n60w40.005.txt,6.92
n60w40.002.txt,11.68
n20w60.001.txt,1.34
n100w20.003.txt,14.26
n60w100.001.txt,52.29
n60w100.005.txt,44.82
n60w100.004.txt,258.16
n20w100.003.txt,3.18
n100w40.005.txt,154.48
n100w60.002.txt,45.84
rc202.3,10.44
rc201.3,1.04
rc205.0,5.04
rc208.2,41.04
rc201.0,2.71
rc205.1,4.0
rc205.3,4.08
rc203.2,7.54
rc204.0,19.02
rc204.1,41.23
rc201.2,2.77
rc202.0,6.05
rc207.0,54.12
rc206.2,24.93
rc207.1,15.32
rc202.2,5.51
rc206.1,17.0
rc203.1,18.56
rc203.0,222.73
rc205.2,5.29
rc206.0,7.56
rc202.1,6.53
rc207.2,21.97
rc201.1,1.65
rc_205.4.txt,4.25
rc_206.4.txt,99.77
rc_202.2.txt,2.9
rc_201.3.txt,1.43
rc_202.3.txt,3.76
rc_204.2.txt,19.02
rc_206.3.txt,4.98
rc_205.1.txt,1.17
rc_202.4.txt,6.54
rc_205.2.txt,3.91
rc_201.1.txt,1.19
rc_205.3.txt,7.86
rc_203.1.txt,3.71
rc_202.1.txt,28.74
rc_203.4.txt,3.45
rc_207.2.txt,48.99
rc_207.1.txt,166.05
rc_206.2.txt,37.91
rc_201.2.txt,1.15
rc_203.2.txt,12.04
rc_207.4.txt,0.99
rc_201.4.txt,1.04
rc_208.2.txt,252.3
rc_206.1.txt,0.97
